Brand,Category,Size Label,Chest Min (Inches),Chest Max (Inches),Length (Inches),Shoulder (Inches),Fit Type,Measure Type (Body or Garment)
Allen Solly,T-Shirt,S,38.19,38.19,26.77,16.93,Regular,Garment
Allen Solly,T-Shirt,M,40.16,40.16,27.56,17.32,Regular,Garment
Allen Solly,T-Shirt,L,42.13,42.13,28.74,17.72,Regular,Garment
Allen Solly,T-Shirt,XL,45.28,45.28,29.53,18.5,Regular,Garment
Allen Solly,T-Shirt,XXL,48.03,48.03,30.71,19.29,Regular,Garment
Arrow,T-Shirt,S,38,38,26.5,16,Regular,Garment
Arrow,T-Shirt,M,40,40,27,17,Regular,Garment
Arrow,T-Shirt,L,42,42,27.5,18,Regular,Garment
Arrow,T-Shirt,XL,44,44,28,29,Regular,Garment
Arrow,T-Shirt,XXL,46,46,29.5,20,Regular,Garment
Arrow,T-Shirt,3XL,48,48,30,21,Regular,Garment
Bear House,T-Shirt,S,43.5,43.5,29,19,Regular,Garment
Bear House,T-Shirt,M,45.5,45.5,29.8,19.8,Regular,Garment
Bear House,T-Shirt,L,47.5,47.5,30.5,20.5,Regular,Garment
Bear House,T-Shirt,XL,49.5,49.5,31.3,21.3,Regular,Garment
Bear House,T-Shirt,XXL,52,52,32,22,Regular,Garment
Bear House,T-Shirt,3XL,54.5,54.5,32.5,22.8,Regular,Garment
Being Human,T-Shirt,XS,35.04,35.04,26.38,15.55,Regular,Garment
Being Human,T-Shirt,S,37.01,37.01,26.97,16.34,Regular,Garment
Being Human,T-Shirt,M,38.98,38.98,27.56,17.13,Regular,Garment
Being Human,T-Shirt,L,40.94,40.94,28.15,17.91,Regular,Garment
Being Human,T-Shirt,XL,42.91,42.91,28.74,18.7,Regular,Garment
Being Human,T-Shirt,XXL,44.88,44.88,29.33,19.49,Regular,Garment
Being Human,T-Shirt,3XL,46.85,46.85,29.92,20.28,Regular,Garment
Being Human,T-Shirt,4XL,48.82,48.82,30.51,21.06,Regular,Garment
Being Human,T-Shirt,5XL,50.79,50.79,31.1,21.85,Regular,Garment
Bewakoof,T-Shirt,S,42,42,29,20.5,Oversized,Garment
Bewakoof,T-Shirt,M,44,44,29.8,21.3,Oversized,Garment
Bewakoof,T-Shirt,L,46,46,30.5,22,Oversized,Garment
Bewakoof,T-Shirt,XL,48,48,31.3,22.8,Oversized,Garment
Bewakoof,T-Shirt,2XL,50,50,32,23.5,Oversized,Garment
Bewakoof,T-Shirt,3XL,52,52,32.8,24.3,Oversized,Garment
Bonkers Corner,T-Shirt,XS,41,41,27,,Oversized,Garment
Bonkers Corner,T-Shirt,S,43,43,27.5,,Oversized,Garment
Bonkers Corner,T-Shirt,M,45,45,28.5,,Oversized,Garment
Bonkers Corner,T-Shirt,L,47,47,29.5,,Oversized,Garment
Bonkers Corner,T-Shirt,XL,49,49,30,,Oversized,Garment
Bonkers Corner,T-Shirt,XXL,53,53,30.5,,Oversized,Garment
Campus Sutra,T-Shirt,S,38,38,27,17.5,Regular,Garment
Campus Sutra,T-Shirt,M,40,40,28,18,Regular,Garment
Campus Sutra,T-Shirt,L,42,42,29,18.5,Regular,Garment
Campus Sutra,T-Shirt,Xl,44,44,30,19,Regular,Garment
Crazymonk,T-Shirt,S,40,,27.5,19,Oversized,Garment
Crazymonk,T-Shirt,M,42,,28.5,20,Oversized,Garment
Crazymonk,T-Shirt,L,44,,29.5,21,Oversized,Garment
Crazymonk,T-Shirt,XL,46,,30,22,Oversized,Garment
Crazymonk,T-Shirt,XXL,48,,30.5,23,Oversized,Garment
Crimsoune Club,T-Shirt,S,38,38,25,16,Oversize,Garment
Crimsoune Club,T-Shirt,M,40,40,27,17,Oversize,Garment
Crimsoune Club,T-Shirt,L,42,42,28,18,Oversize,Garment
Crimsoune Club,T-Shirt,XL,44,44,28.5,29,Oversize,Garment
Crimsoune Club,T-Shirt,2XL,46,46,30,20,Oversize,Garment
Crimsoune Club,T-Shirt,3XL,48,48,31,21,Oversize,Garment
Crocodile,T-Shirt,S,39.4,39.4,27.2,16.3,Regular,Garment
Crocodile,T-Shirt,M,40.9,40.9,27.6,16.9,Regular,Garment
Crocodile,T-Shirt,L,42.5,42.5,28.3,17.7,Regular,Garment
Crocodile,T-Shirt,XL,44.1,44.1,29.1,18.7,Regular,Garment
Crocodile,T-Shirt,XXL,45.7,45.7,29.9,19.7,Regular,Garment
Crocodile,T-Shirt,XXXL,47.2,47.2,30.7,20.7,Regular,Garment
Cult,T-Shirt,S,39,39,27,,Regular,Garment
Cult,T-Shirt,M,41,41,27.5,,Regular,Garment
Cult,T-Shirt,L,43,43,28,,Regular,Garment
Cult,T-Shirt,XL,45,45,28.5,,Regular,Garment
Cult,T-Shirt,XXL,47,47,29,,Regular,Garment
Damensch,T-Shirt,S,36,38,27.5,16.7,Regular,Body
Damensch,T-Shirt,M,38,40,28,17.2,Regular,Body
Damensch,T-Shirt,L,40,42,28.5,17.7,Regular,Body
Damensch,T-Shirt,XL,42,44,29,18.2,Regular,Body
Damensch,T-Shirt,2XL,44,46,29.5,18.7,Regular,Body
Flying Machine,T-Shirt,S,42,42,28,19-Feb,Regular,Garment
Flying Machine,T-Shirt,M,44,44,28.5,20,Regular,Garment
Flying Machine,T-Shirt,L,45,45,29,20.7,Regular,Garment
Flying Machine,T-Shirt,XL,49,49,29,21.8,Regular,Garment
Flying Machine,T-Shirt,XXL,51,51,30.5,22.6,Regular,Garment
